krung go'i bod kyi shes rig dpe skrun khang,中国藏学出版社
kan su'u rig gnas dpe skrun khang,甘肃文化出版社
kan su'u mi rigs dpe skung khang,甘肃民族出版社
bod ljongs bod yig dpe rnying dpe skrun khang,藏文古籍出版社
bod ljongs mi dmangs dpe skrun khang,西藏人民出版社
si khron mi rigs dpe skrun khang,四川民族出版社
si khron mi dmangs dpe skrun khang,四川人民出版社
hrang he'i mtho rim shes rig dar spel dpe skrun khang,上海高級文明發揚出版社
mi rigs dpe skrun khang,民族出版社
mtsho sngon mi rigs dpe skrun khang,青海民族出版社
yun nan mi rigs dpe skrun khang,云南民族出版社
si khron bod yig dpe rnying bsdu sgrig khang,四川省藏文古籍搜集保护编务院
dpal brtsegs bod yig dpe rnying zhib 'jugs khang,百慈藏文古籍研究室
library of tibetan works and archives,ltwa
bod kyi dpe mdzod khang,ltwa
central institute of higher tibetan studies,cihts
dbus bod kyi ches mtho'i gtsug lag slob gnyer khang,cihts
wA Na dbus bod kyi gtsug lag slob gnyer khang,cihts