m: new RID, n: new node in existing RIDs, r: new path
G0DD0149,G00KG09752,m
G0DD0098,G00KG09752,m
G0DD0150,G00KG09752,m
G0DD0068,G00KG09752,m
G0DD0116,G0DD0068,m
G0DD0011,G0DD0044,m
G0DD0045,G0DD0044,m
G0DD0049,G0DD0044,m
G0DD0159,G0DD0044,m
G0DD0152,G0DD0018,m
G0DD0092,G0DD0142,m
G0DD0141,G0DD0142,m
G0DD0086,G0DD0196,m
G0DD0136,G0DD0196,m
G0DD0014,G0DD0196,m
G0DD0073,G0DD0035,m
G0DD0001,G0DD0197,m
G0DD0102,G0DD0037,m
G0DD0198,G0DD0037,m
G0DD0106,G0DD0037,m
G0DD0114,G0DD0053,m
G0DD0003,G0DD0053,m
G0DD0002,G0DD0139,m
G0DD0199,G0DD0139,m
G0DD0113,G0DD0199,m
G0DD0156,G0DD0005,m
G0DD0200,G0DD0005,m
G0DD0081,G0DD0200,m
G0DD0004,G0DD0201,m
G0DD0108,G0DD0202,m
G0DD0158,G0DD0203,m
G0DD0157,G3JT12416,m
G0DD0122,G0DD0157,m
G0DD0127,G0DD0157,m
G0DD0093,G3JT12416,m
G0DD0054,G0DD0093,m
G0DD0109,G0DD0093,m
G0DD0160,G0DD0093,m
G0DD0091,G3JT12416,m
G0DD0204,G3JT12416,m
G0DD0012,G0DD0204,m
G0DD0132,G0DD0012,m
G0DD0205,G3JT12416,m
G0DD0009,G0DD0205,m
G0DD0019,G0DD0205,m
G0DD0097,G0DD0019,m
G0DD0070,G0DD0205,m
G0DD0095,G0DD0205,m
G0DD0206,G3JT12416,m
G0DD0110,G0DD0206,m
G0DD0082,G3JT12416,m
G0DD0207,G3JT12416,m
G0DD0021,G0DD0207,m
G0DD0208,G3JT12416,m
G0DD0209,G0DD0208,m
G0DD0023,G0DD0209,m
G0DD0075,G3198,m
G0DD0161,G1949,m
G0DD0125,G3198,m
G0DD0169,G3198,m
G0DD0164,G0DD0169,m
G0DD0163,G1819,m
G0DD0162,G1819,m
G0DD0020,G2182,m
G0DD0067,G2208,m
G0DD0171,G3198,m
G0DD0165,G0DD0171,m
G0DD0170,G2207,m
G0DD0055,G4716,m
G0DD0145,G4716,m
G0DD0131,G4706,m
G0DD0210,G3205,m
G0DD0071,G0DD0210,m
G0DD0010,G1TD42,m
G0DD0211,G3205,m
G0DD0043,G0DD0211,m
G0DD0033,G836,m
G0DD0212,G3205,m
G0DD0105,G0DD0212,m
G0DD0104,G2CN11080,m
G0DD0039,G0DD0104,m
G0DD0107,G4450,m
G0DD0028,G3188,m
G0DD0077,G0DD0028,m
G0DD0006,G0DD0028,m
G0DD0052,G0DD0028,m
G0DD0115,G4450,m
G0DD0140,G1398,m
G0DD0041,G1398,m
G0DD0030,G0DD0041,m
G0DD0100,G0DD0041,m
G0DD0213,G1398,m
G0DD0059,G3188,m
G0DD0089,G0DD0059,m
G0DD0017,G0DD0089,m
G0DD0063,G0DD0059,m
G0DD0031,G0DD0063,m
G0DD0214,G0DD0063,m
G0DD0007,G0DD0059,m
G0DD0057,G0DD0059,m
G0DD0215,G0DD0057,m
G0DD0216,G0DD0215,m
G0DD0087,G0DD0216,m
G0DD0038,G0DD0087,m
G0DD0217,G0DD0059,m
G0DD0047,G0DD0217,m
G0DD0058,G3CN1563,m
G0DD0083,G3JT12630,m
G0DD0120,G3JT12630,m
G0DD0040,G3JT12630,m
G0DD0129,G3JT12630,m
G0DD0118,G0DD0058,m
G0DD0101,G0DD0058,m
G0DD0218,G0DD0058,m
G0DD0219,G0DD0218,m
G0DD0153,G0DD0219,m
G0DD0130,G0DD0058,m
G0DD0034,G3CN1562,m
G0DD0151,G3CN1562,m
G0DD0146,G3CN1562,m
G0DD0079,G3CN1563,m
G0DD0022,G0DD0079,m
G0DD0112,G0DD0079,m
G0DD0066,G3CN1563,m
G0DD0078,G0DD0066,m
G0DD0069,G3CN1563,m
G0DD0074,G3CN32,m
G0DD0064,G3CN1568,m
G0DD0096,G3CN1568,m
G0DD0221,G3CN1563,m
G0DD0025,G0DD0221,m
G0DD0126,G3CN1563,m
G0DD0117,G0DD0126,m
G0DD0222,G3188,m
G0DD0138,G1085,m
G0DD0008,G3182,m
G0DD0121,G3182,m
G0DD0223,G3182,m
G0DD0224,G3182,m
G0DD0137,G3182,m
G0DD0225,G3188,m
G0DD0027,G0DD0225,m
G0DD0123,G0DD0027,m
G0DD0088,G0DD0027,m
G0DD0111,G0DD0027,m
G0DD0024,G0DD0027,m
G0DD0080,G0DD0225,m
G0DD0226,G3188,m
G0DD0042,G0DD0226,m
G0DD0016,G0DD0226,m
G0DD0134,G3188,m
G0DD0227,G3530,m
G0DD0144,G0DD0227,m
G0DD0228,G3188,m
G0DD0119,G0DD0228,m
G0DD0062,G0DD0228,m
G0DD0026,G0DD0228,m
G0DD0133,G0DD0026,m
G0DD0085,G0DD0026,m
G0DD0147,G0DD0026,m
G0DD0015,G0DD0228,m
G0DD0128,G3JT12629,m
G0DD0229,G3188,m
G0DD0076,G0DD0229,m
G0DD0230,G3188,m
G0DD0185,G2CN10953,m
G0DD0061,G1PD110102,m
G0DD0231,G3188,m
G0DD0232,G0DD0231,m
G0DD0056,G0DD0232,m
G0DD0233,G4338,m
,,
G1052,G0DD0170,n
G435,G2203,n
G2208,G3198,n
G1PD108961,G3198,n
G2207,G3198,n
G1949,G3198,n
G977,G3198,n
G2491,G977,n
G1473,G3198,n
G3261,G3957,n
G3494,G2298,n
G1366,G1326,n
G2883,G4144,n
G529,G3762,n
G2086,G1115,n
G3CN36,G571,n
G1365,G3CN36,n
G603,G584,n
G1979,G584,n
G1398,G3188,n
G1PD110071,G0DD0213,n
G4584,G1085,n
,,
G9CTX15088,G0DD0115,r
G2MS14675,G9CTX15088,r
G3JT12558,G0DD0101,r
G3JT12630,G0DD0058,r
G3CN1562,G0DD0058,r
G3CN32,G0DD0069,r
G3CN1567,G0DD0096,r
G3182,G0DD0222,r
G867,G0DD0223,r
G00JR3353,G0DD0224,r
G2GS1037,G0DD0042,r
G3JT12629,G0DD0228,r
G2CN10953,G0DD0230,r
G1PD110102,G0DD0230,r