Amdo,G1202
Bainang County,G2174
Bairi,G1005
Bairi County,G1052
Baiyu County,G2300
Bathang County,G2305
Beijing,G1949
Bengal,G3CN285
Bhutan,G3205
Bir,G3CN1562
Bodhgaya,G2GS1037
Bora,G1KR2063
Bumthang,G4716
Chakri Thangzhang,G1721
Chengdu,G10MS19724
China,G3198
Cuopu,G3237
Daocheng County,G2306
Dawu County,G2298
Dege,G1366
Dege County,G1539
Dengqen County,G2188
Derge Gonchen,G193
Derong County,G2307
Dharamsala,G3JT12630
Ditsa,G1481
Dolanji,G3CN1567
Drakar Taso,G317
Dranang County,G799
Dzachuka,G632
Dzamthang,G3762
Dzogchen Monastery (Tibet),G16
Dzongsar Monastery (Tibet),G213
Ganden (Tibet),G337
Garthar Monastery,G3494
Golok,G1490
Gonggar County,G2135
Guide,G1136
Gyaca County,G2138
Gyalrong,G1272
Gyaye,G1PD97740
Haibei Prefecture,G2312
Hainan Prefecture,G2317
Hemis Monastery,G00JR3353
Hong Kong,G3192
India,G3188
Inner Mongolia,G603
Jainca County,G1695
Jakhyung,G662
Japan,G00KG09752
Jinchuan County,G2335
Jiulong County,G2311
Jone County,G2203
Jone Monastery,G435
Jyekundo,G869
Kalimpong,G3JT12629
Kangding County,G2308
Kathmandu,G2CN11080
Kathok,G17
Khalkha,G1395
Kham,G1326
Kongpo,G640
Kubum Monastery,G160
Labrang Monastery,G162
Ladakh,G3182
Larung Gar,G3997
Leh,G1085
Lhasa,G2800
Lhatse County,G2167
Lho Lunkar Monastery,G341
Lhunze County,G1990
Lijiang County,G4236
Litang County,G2304
Loro,G1192
Luding County,G2309
Luhou County,G2299
Lumbini,G2MS14675
Maizhokunggar County,G2014
Mangyul,G3166
Mindroling (Tibet),G14
Mongolia,G584
Muksang Monastery (Tibet),G3466
Mustang,G00EGS1017242
Nagarze County,G2136
Nangqen,G4144
Nangqen County,G1467
Nemo,G4584
Nenying,G3096
Nepal,G4450
Ngamring County,G2162
Nyarong,G1365
Olka,G1379
Paro,G836
Qamdo,G576
Qinghai Province,G977
Quxu County,G2128
Ragya Monastery,G398
Rebkong,G2369
Rongdrag County,G2310
Rongwo,G2491
Sa'gya County,G2169
Saga County,G2160
Sarnath,G1PD110102
Sershul Monastery,G3261
Sertar County,G2302
Shalu Monastery,G275
Shechen Monastery (Tibet),G20
Shigatse County,G2170
Sikkim,G1398
Solukhumbu,G2490
Songpan County,G2333
Spiti,G3CN32
Swayambhunath,G3156
Tabo Monastery,G1KG17626
Taktse County,G1516
Takure Monastery,G1979
Tarthang Monastery (Tibet),G523
Tashi Lhunpo Monastery,G104
Thimphu,G4706
Tingri County,G2165
Trongsa,G4713
Tuwacang Monastery,G3222
USA,G3JT12416
Varanasi,G2CN10953
Xiangcheng County,G1103
Xining,G598
Yajiang County,G2303
Zetang,G560
Zhichen Monastery,G1563
Zoi Chongkyir,G916
Zoige County,G299
Adzom Monastery,G188
Arik Monastery,G1KR2385
Barkham,G830
Bouddhanath,G00KG09762
Chongqing,G2KR73
Dranang,G799
Drepung (Tibet),G108
Drib,G2297
Dzogchen (Tibet),G16
Dzogchen Shedra (Tibet),G2CN11096
Dzongsar (Tibet),G213
Dzongsar Shedra (Tibet),G4874
Gannan,G2199
Gansu,G2207
Heishui,G2332
Jomda,G2376
Khyungpo Tengchen Monastery,G1KR1169
Kinnaur,G4168
Kyichu Temple,G1TD43
Lato South,G4794
Mao County,G4560
Narthang Monastery,G225
Ngulchu Chodzong Monastery,G223
Nubzur Monastery,G3971
Punakha,G54
Rongbuk,G186
Rumtek,G1PD110071
Sera (Tibet),G154
Serame (Tibet),G237
Shelkar,G221
Sherig Parkhang,G3JT12587
Sichuan,G1473
Solan,G3CN1568
Tango,G218
Tashichhoedzong Monastery,G1TD12
Tashigang,G1TD42
Tawang,G3529
Tuole Monastery,G1912
Ulaanbaatar,G2CN11044
Wenchuan,G2340
Xiahe County,G2396
Xiaojin County,G2334
Yarchen Monastery,G3812
Yunnan,G2208
Yushu Prefecture,G2324
Zhag'yab,G2183
Gartse,G3158
Adzin Rong (Nyag),G4654
Nanping,G2338
Jomonang,G201
Laya,G388
Ngagyur Taklung Monastery,G1750
Tashijong,G3JT12558
Maqen,G1754
Merchen,G2883
Garze,G1538
Gungthang,G1338
Lanzhou,G895
Ngayul,G1196
Ngaba Prefecture,G636
Ngaba County,G2331
Nyakrong County,G1246
Nyakrong,G1365
Nyainrong County,G2146
Pemako,G3478
Serxu County,G3957
Tibet,G3196
Dzamthang Monastery,G529
Palpung Monastery (Tibet),G36
Paro Taktsang,G2876
Zanskar,G867
Luhou,G2299
U-Tsang,G3186
Tsang,G1300
Tingri,G954
Kyirong,G2161
Ngari,G571